Image Title,Metadata Key,Metadata Value,Depicts Statement
File:上板サービスエリア Kamiita SA - panoramio.jpg,Permission,"<style data-mw-deduplicate=""TemplateStyles:r666199556"">.mw-parser-output .responsive-license-cc{clear:both;text-align:center;box-sizing:border-box;width:100%;justify-content:space-around;align-items:center;margin:0.5em auto;background-color:#f9f9f9;border:2px solid #e0e0e0;border-spacing:8px;display:flex}.mw-parser-output .responsive-license-cc div{margin:4px}.mw-parser-output .rlicense-text div{margin:0.5em auto}@media screen and (max-width:640px){.mw-parser-output .responsive-license-cc{flex-flow:column}.mw-parser-output .rlicense-text{order:1}}</style><div class=""responsive-license-cc layouttemplate licensetpl mw-content-ltr"" lang=""en""><div class=""rlicense-icons""><span typeof=""mw:File""><span title=""w:en:Creative Commons""><img alt=""w:en:Creative Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/CC_some_rights_reserved.svg/90px-CC_some_rights_reserved.svg.png"" decoding=""async"" width=""90"" height=""36"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/CC_some_rights_reserved.svg/135px-CC_some_rights_reserved.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/CC_some_rights_reserved.svg/180px-CC_some_rights_reserved.svg.png 2x"" data-file-width=""744"" data-file-height=""300""></span></span><br><span typeof=""mw:File""><span title=""attribution""><img alt=""attribution"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cc-by_new_white.svg/24px-Cc-by_new_white.svg.png"" decoding=""async"" width=""24"" height=""24"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cc-by_new_white.svg/36px-Cc-by_new_white.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Cc-by_new_white.svg/48px-Cc-by_new_white.svg.png 2x"" data-file-width=""64"" data-file-height=""64""></span></span></div><div class=""rlicense-text""><div class=""rlicense-declaration"">This file is licensed under the <a href=""https://en.wikipedia.org/wiki/en:Creative_Commons"" class=""extiw"" title=""w:en:Creative Commons"">Creative Commons</a> <a rel=""nofollow"" class=""external text"" href=""https://creativecommons.org/licenses/by/3.0/deed.en"">Attribution 3.0 Unported</a> license.</div><div class=""rlicense-attr"" style=""font-weight: bold;"">Attribution: <span style=""font-size:larger;"" class=""licensetpl_attr"">iloverjoa</span></div><div class=""rlicense-desc"" style=""text-align:left;"" lang=""en"">
<dl><dd>You are free:
<ul><li><b>to share</b> – to copy, distribute and transmit the work</li>
<li><b>to remix</b> – to adapt the work</li></ul></dd>
<dd>Under the following conditions:
<ul><li><b>attribution</b> – You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.</li></ul></dd></dl></div><span class=""licensetpl_link"" style=""display:none;"">https://creativecommons.org/licenses/by/3.0</span><span class=""licensetpl_short"" style=""display:none;"">CC BY 3.0 </span><span class=""licensetpl_long"" style=""display:none;"">Creative Commons Attribution 3.0 </span><span class=""licensetpl_link_req"" style=""display:none;"">true</span><span class=""licensetpl_attr_req"" style=""display:none;"">true</span></div></div>
<style data-mw-deduplicate=""TemplateStyles:r354046206"">.mw-parser-output .panoramioreview{width:100%;margin:0.5em 0;background-color:#fffff0;padding:5px;border:1px solid #aa8}.mw-parser-output .panoramioreview-failed{background-color:#fcc}.mw-parser-output .panoramioreview-passed{background-color:#efe}</style><table class=""panoramioreview panoramioreview-passed"" lang=""en"" dir=""ltr""><tbody><tr><td><span typeof=""mw:File""><span><img alt="""" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Checked_copyright_icon.svg/50px-Checked_copyright_icon.svg.png"" decoding=""async"" width=""50"" height=""48"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Checked_copyright_icon.svg/75px-Checked_copyright_icon.svg.png 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Checked_copyright_icon.svg/100px-Checked_copyright_icon.svg.png 2x"" data-file-width=""160"" data-file-height=""153""></span></span>
</td>
<td>This image, which was originally posted to <b><a href=""https://en.wikipedia.org/wiki/Panoramio"" class=""extiw"" title=""w:Panoramio"">Panoramio</a></b>, was automatically reviewed on 21 June 2017 by <b><a href=""//commons.wikimedia.org/wiki/User:Panoramio_upload_bot"" title=""User:Panoramio upload bot"">Panoramio upload bot</a></b>, who confirmed that it was available on Panoramio under the above license on that date.
</td></tr></tbody></table>",
File:上板サービスエリア Kamiita SA - panoramio.jpg,LicenseShortName,CC BY 3.0,
File:上板サービスエリア Kamiita SA - panoramio.jpg,UsageTerms,Creative Commons Attribution 3.0,
File:上板サービスエリア Kamiita SA - panoramio.jpg,AttributionRequired,true,
File:上板サービスエリア Kamiita SA - panoramio.jpg,Attribution,iloverjoa,
File:上板サービスエリア Kamiita SA - panoramio.jpg,LicenseUrl,https://creativecommons.org/licenses/by/3.0,
File:上板サービスエリア Kamiita SA - panoramio.jpg,Copyrighted,True,
File:上板サービスエリア Kamiita SA - panoramio.jpg,Restrictions,,
File:上板サービスエリア Kamiita SA - panoramio.jpg,License,cc-by-3.0,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,DateTime,2023-05-25 18:53:55,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,ObjectName,"<div class=""fn"">
Galeries historiques de Versailles : figures. Sér. 5, Campagnes de 1792 a 1795. Sect. unique.</div>",
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,CommonsMetadataExtension,1.2,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,Categories,Files from Polona|Galeries historiques de Versailles Sér. 5 (1841)|Images contributed by the National Library in Warsaw|PD-anon-expired|Template Unknown (author),
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,Assessments,,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,Artist,"<div class=""fn value"">
Unknown author<span style=""display: none;"">Unknown author</span></div>",
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,ImageDescription,"<i>Adres wydawniczy</i>: [Paris : Ch. Gavard, 1841]<br>strona tytułowa<br><i>Opis fizyczny</i>: [33] k. tabl., 1 front. : il. ; 33 cm",
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,Credit,"This file comes from <a rel=""nofollow"" class=""external text"" href=""https://polona.pl/"">Polona Digital Library</a> and is available under the digital ID <a rel=""nofollow"" class=""external text"" href=""https://polona2.pl/item/galeries-historiques-de-versailles-figures-ser-5-campagnes-de-1792-a-1795-sect,MjE4OTQ0NjU/4/"">https://polona2.pl/item/galeries-historiques-de-versailles-figures-ser-5-campagnes-de-1792-a-1795-sect,MjE4OTQ0NjU/4/</a>",
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,Permission,"This work was published before January 1, 1899 and it is anonymous or pseudonymous due to unknown authorship. It is in the <b><a href=""https://en.wikipedia.org/wiki/public_domain"" class=""extiw"" title=""w:public domain"">public domain</a></b> in the United States as well as countries and areas where the <a href=""https://en.wikipedia.org/wiki/List_of_countries%27_copyright_lengths"" class=""extiw"" title=""w:List of countries' copyright lengths"">copyright terms of anonymous or pseudonymous works</a> are <b>125 years or fewer since publication</b>.",
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,LicenseShortName,Public domain,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,UsageTerms,Public domain,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,AttributionRequired,false,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,Copyrighted,False,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,Restrictions,,
File:Galeries historiques de Versailles - figures. Ser. 5 1841 (22838958).jpg,License,pd,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,DateTime,2018-11-25 15:07:25,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,ObjectName,YouTubestjernenes medieverden - NMD 2017 (34481875081),
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,CommonsMetadataExtension,1.2,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,Categories,Files from Nordiske Mediedager Flickr stream|Flickr images missing SDC creator|Flickr images reviewed by FlickreviewR 2|Nordiske Mediedager 2017|Photographs by Thor Brødreskift|Uploaded with pattypan,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,Assessments,,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,ImageDescription,"YouTubestjernenes medieverden med Herman Dahl, Markus SannesModerator Jonas Lihaug Fredriksen og Henrik Hildre",
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,DateTimeOriginal,2017-05-12 15:14,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,Credit,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/mediedager/34481875081/"">YouTubestjernenes medieverden</a>",
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,Artist,"Thor Brødreskift  /  <a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/43458006@N02"">Nordiske Mediedager</a>",
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,LicenseShortName,CC BY-SA 2.0,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,UsageTerms,Creative Commons Attribution-Share Alike 2.0,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,AttributionRequired,true,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,LicenseUrl,https://creativecommons.org/licenses/by-sa/2.0,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,Copyrighted,True,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,Restrictions,,
File:YouTubestjernenes medieverden - NMD 2017 (34481875081).jpg,License,cc-by-sa-2.0,
File:ISS044-E-61597 - View of Earth.jpg,DateTime,2021-03-19 16:13:09,
File:ISS044-E-61597 - View of Earth.jpg,ObjectName,ISS044-E-61597 - View of Earth,
File:ISS044-E-61597 - View of Earth.jpg,CommonsMetadataExtension,1.2,
File:ISS044-E-61597 - View of Earth.jpg,Categories,"Files from NASA with known IDs|ISS Expedition 44 Crew Earth Observations (dump)|ISS photographs taken on 2015-08-23|Images from the Earth Science and Remote Sensing Unit, Lyndon B. Johnson Space Center|PD NASA|Pages with camera coordinates from SDC|Pages with maps|Taken with Nikon D4",
File:ISS044-E-61597 - View of Earth.jpg,Assessments,,
File:ISS044-E-61597 - View of Earth.jpg,GPSLatitude,-13.100000,
File:ISS044-E-61597 - View of Earth.jpg,GPSLongitude,-45.400000,
File:ISS044-E-61597 - View of Earth.jpg,GPSMapDatum,WGS-84,
File:ISS044-E-61597 - View of Earth.jpg,ImageDescription,View of Earth taken during ISS Expedition 44.,
File:ISS044-E-61597 - View of Earth.jpg,DateTimeOriginal,2015-08-23 11:26:04,
File:ISS044-E-61597 - View of Earth.jpg,Credit,"<a rel=""nofollow"" class=""external text"" href=""https://eol.jsc.nasa.gov/SearchPhotos/photo.pl?mission=ISS044&amp;roll=E&amp;frame=61597"">JSC Gateway to Astronaut Photography of Earth</a>",
File:ISS044-E-61597 - View of Earth.jpg,Artist,"<a href=""https://en.wikipedia.org/wiki/en:Earth_Science_and_Remote_Sensing_Unit"" class=""extiw"" title=""w:en:Earth Science and Remote Sensing Unit"">Earth Science and Remote Sensing Unit</a>, <a href=""https://en.wikipedia.org/wiki/en:Johnson_Space_Center"" class=""extiw"" title=""w:en:Johnson Space Center""><span title=""NASA field center in Houston, Texas"">Lyndon B. Johnson Space Center</span></a>",
File:ISS044-E-61597 - View of Earth.jpg,LicenseShortName,Public domain,
File:ISS044-E-61597 - View of Earth.jpg,UsageTerms,Public domain,
File:ISS044-E-61597 - View of Earth.jpg,AttributionRequired,false,
File:ISS044-E-61597 - View of Earth.jpg,Copyrighted,False,
File:ISS044-E-61597 - View of Earth.jpg,Restrictions,,
File:ISS044-E-61597 - View of Earth.jpg,License,pd,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,DateTime,2015-04-21 13:49:25,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,ObjectName,Netsuke,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,CommonsMetadataExtension,1.2,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,Categories,Artworks with known accession number|Artworks without Wikidata item|CC-PD-Mark|Etchings by Hermann Struck|GWToolset Batch Upload|Images from Hermann Struck – needing category checks|Images from the Jewish Museum Berlin|Objects with inscriptions (language unspecified)|PD-Art (PD-old-70)|PD US unpublished|Portrait prints by Hermann Struck|Prints by Hermann Struck|Supported by Wikimedia Deutschland|Unknown inscription type,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,Assessments,,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,Artist,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Hermann_Struck"" class=""extiw"" title=""w:en:Hermann Struck""><span title=""German Jewish painter, officer, translator and etcher (1876-1944)"">Hermann Struck</span></a>
</bdi>",
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,ImageDescription,"<div class=""description"">
Artwork by Hermann Struck<br><b>Datierung Display:</b> 1912 - 1915<br><b>Objektart:</b> Radierung<br><b>Schlagworte Inhalt /Geografie:</b> Personendarstellung, Ostasien, Interieur (Kunst)</div>",
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,DateTimeOriginal,"between 1912 and 1915<div style=""display: none;"">date QS:P571,+1912-00-00T00:00:00Z/8,P1319,+1912-00-00T00:00:00Z/9,P1326,+1915-00-00T00:00:00Z/9</div>",
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,Credit,"<a rel=""nofollow"" class=""external free"" href=""http://objekte.jmberlin.de/object/jmb-obj-91600"">http://objekte.jmberlin.de/object/jmb-obj-91600</a>",
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,Permission,"This file was provided to Wikimedia Commons by the <a rel=""nofollow"" class=""external text"" href=""http://www.jmberlin.de/"">Jewish Museum Berlin</a>, as part of a <a href=""//commons.wikimedia.org/w/index.php?title=Commons:J%C3%BCdisches_Museum_Berlin&amp;action=edit&amp;redlink=1"" class=""new"" title=""Commons:Jüdisches Museum Berlin (page does not exist)"">cooperation project</a>.",
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,LicenseShortName,Public domain,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,UsageTerms,Public domain,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,AttributionRequired,false,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,Copyrighted,False,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,Restrictions,,
File:Hermann Struck Grafik JMBerlin GDR 98 1 20.jpg,License,pd,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,DateTime,2021-11-23 01:07:16,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,ObjectName,2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,CommonsMetadataExtension,1.2,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,Categories,8th International Ulla-Klinger-Cup 2021|Files by DerHexer|Files by DerHexer/8th International Ulla-Klinger-Cup 2021|Personality rights warning|SV Neptun 1910 Aachen at Ulla-Klinger-Cup 2021|Self-published work|Supported by Wikimedia Deutschland|Supported by Wikimedia Deutschland 2021|Uploaded with VicuñaUploader|WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,Assessments,,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,ImageDescription,Competition 20 3m Boys Youth B at the 8th International Ulla-Klinger-Cup on 6 November 2021. Depicted: SV Neptun 1910 Aachen.,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,DateTimeOriginal,2021-11-06,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,Credit,"<span class=""int-own-work"">Self-photographed</span>",
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,Artist,"<a href=""//commons.wikimedia.org/wiki/User:DerHexer"" title=""User:DerHexer"">Martin Rulsch</a>, Wikimedia Commons",
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,LicenseShortName,CC BY-SA 4.0,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,UsageTerms,Creative Commons Attribution-Share Alike 4.0,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,AttributionRequired,true,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,Attribution,"Martin Rulsch, <a class=""external text"" href=""https://commons.wikimedia.org/wiki/File:2021-11-06_WK_20_Springboard_3m_Boys_Youth_D_at_Ulla-Klinger-Cup_2021_(Martin_Rulsch)_095.jpg"">Wikimedia Commons</a>, <a rel=""nofollow"" class=""external text"" href=""https://creativecommons.org/licenses/by-sa/4.0/legalcode"">CC BY-SA 4.0</a>",
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,LicenseUrl,https://creativecommons.org/licenses/by-sa/4.0,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,Copyrighted,True,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,Restrictions,personality,
File:2021-11-06 WK 20 Springboard 3m Boys Youth D at Ulla-Klinger-Cup 2021 (Martin Rulsch) 095.jpg,License,cc-by-sa-4.0,
File:Lošinj Airport Tower 2014.jpg,DateTime,2017-10-29 13:45:04,
File:Lošinj Airport Tower 2014.jpg,ObjectName,Lošinj Airport Tower 2014,
File:Lošinj Airport Tower 2014.jpg,CommonsMetadataExtension,1.2,
File:Lošinj Airport Tower 2014.jpg,Categories,2014 in Croatia|Airport firefighting vehicles|Airport towers in Croatia|Croatia photographs taken on 2014-07-14|Files from flightlog Flickr stream|Flickr images verified by UploadWizard|Lošinj Airport|Mercedes-Benz fire engines|Pages with maps,
File:Lošinj Airport Tower 2014.jpg,Assessments,,
File:Lošinj Airport Tower 2014.jpg,GPSLatitude,44.568615,
File:Lošinj Airport Tower 2014.jpg,GPSLongitude,14.392687,
File:Lošinj Airport Tower 2014.jpg,GPSMapDatum,WGS-84,
File:Lošinj Airport Tower 2014.jpg,ImageDescription,Lošinj Airport Tower 2014,
File:Lošinj Airport Tower 2014.jpg,DateTimeOriginal,"14 July 2014, 15:01:51",
File:Lošinj Airport Tower 2014.jpg,Credit,"<a rel=""nofollow"" class=""external free"" href=""https://www.flickr.com/photos/flightlog/14504974317/"">https://www.flickr.com/photos/flightlog/14504974317/</a>",
File:Lošinj Airport Tower 2014.jpg,Artist,flightlog,
File:Lošinj Airport Tower 2014.jpg,LicenseShortName,CC BY 2.0,
File:Lošinj Airport Tower 2014.jpg,UsageTerms,Creative Commons Attribution 2.0,
File:Lošinj Airport Tower 2014.jpg,AttributionRequired,true,
File:Lošinj Airport Tower 2014.jpg,LicenseUrl,https://creativecommons.org/licenses/by/2.0,
File:Lošinj Airport Tower 2014.jpg,Copyrighted,True,
File:Lošinj Airport Tower 2014.jpg,Restrictions,,
File:Lošinj Airport Tower 2014.jpg,License,cc-by-2.0,
File:BSicon dBHF~L maroon.svg,DateTime,2017-12-30 21:39:51,
File:BSicon dBHF~L maroon.svg,ObjectName,BSicon dBHF~L maroon,
File:BSicon dBHF~L maroon.svg,CommonsMetadataExtension,1.2,
File:BSicon dBHF~L maroon.svg,Categories,BSicon/railway/set maroon/BHF|PD shape|Valid SVG created with Text Editor:BSicons,
File:BSicon dBHF~L maroon.svg,Assessments,,
File:BSicon dBHF~L maroon.svg,ImageDescription,"Half-width station, right half (connects to left)",
File:BSicon dBHF~L maroon.svg,DateTimeOriginal,2017-12-30,
File:BSicon dBHF~L maroon.svg,Credit,"<span class=""int-own-work"" lang=""en"">Own work</span>",
File:BSicon dBHF~L maroon.svg,Artist,"<a href=""//commons.wikimedia.org/wiki/User:Useddenim"" title=""User:Useddenim"">Useddenim</a>",
File:BSicon dBHF~L maroon.svg,LicenseShortName,Public domain,
File:BSicon dBHF~L maroon.svg,UsageTerms,Public domain,
File:BSicon dBHF~L maroon.svg,AttributionRequired,false,
File:BSicon dBHF~L maroon.svg,Copyrighted,False,
File:BSicon dBHF~L maroon.svg,Restrictions,,
File:BSicon dBHF~L maroon.svg,License,pd,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,DateTime,2021-09-11 12:07:32,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,ObjectName,Freight Graffiti Benching - SoCal (01-24-2021) (50886600812),
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,CommonsMetadataExtension,1.2,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,Categories,Benching Freight Graffiti at Santa Fe Depot San Bernardino 01-24-2021|Files uploaded by Orizan|Flickr images reviewed by FlickreviewR 2|Freight trains in California|Photographs by siamesepuppy|TTX well cars|Taken with Fujifilm X-Pro3,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,Assessments,,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,ImageDescription,"<p>Out today benching freights at one of my spots.  Wanted to go Saturday, rained all day.  No rain on Sunday and it looked like the sun was going to come out.  NOPE.  It got down to 44 degrees Fahrenheit.  All I had was a thin Dickies jacket.  My hands were cold, my feet were freezing, it was pretty bad.  Yeah, I know 44F. isn't all that cold.  Well here in California 44 is pretty damn low.
</p><p>Was there for about an hour or so before security rolled up on the other side of 3 sets of tracks with roof lights flashing.  Turned his truck to face me.  I sat down and ignored him.  I looked over again and he was gone.   30 mins. later here he comes rolling up on me on the same side of the tracks I was on.  I was sure he was going to hassle me.  He just wanted to know what I was doing out there.  Told me to stay safe, and left...
</p><p>Finished up my day frozen and shivering could barely feel my toes.  Walked back to the car.  Just as I got to the car I could hear another train coming.  Seems like this always happens.  Looked over as about 10-15 cars passed by.  Oh well.  Got in the car and headed down the road, and realized, I can beat this train to another spot where I could catch some flicks.  So I did..
</p><p>Stay safe out there friends !!!
</p>
For freight graff slideshows: &lt;a href=""<a rel=""nofollow"" class=""external free"" href=""https://www.youtube.com/SilenceSeven"">https://www.youtube.com/SilenceSeven</a>"" rel=""noreferrer nofollow""&gt;www.youtube.com/SilenceSeven&lt;/a&gt;",
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,DateTimeOriginal,2021-01-24 13:44,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,Credit,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/siamesepuppy/50886600812/"">Freight Graffiti Benching - SoCal (01-24-2021)</a>",
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,Artist,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/37445525@N04"">siamesepuppy</a>",
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,LicenseShortName,CC BY 2.0,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,UsageTerms,Creative Commons Attribution 2.0,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,AttributionRequired,true,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,LicenseUrl,https://creativecommons.org/licenses/by/2.0,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,Copyrighted,True,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,Restrictions,,
File:Freight Graffiti Benching - SoCal (01-24-2021) (50886600812).jpg,License,cc-by-2.0,
File:Rodadero.jpg,DateTime,2012-11-22 14:50:17,
File:Rodadero.jpg,ObjectName,Rodadero,
File:Rodadero.jpg,CommonsMetadataExtension,1.2,
File:Rodadero.jpg,Categories,Beach of El Rodadero|Self-published work,
File:Rodadero.jpg,Assessments,,
File:Rodadero.jpg,ImageDescription,SAnta marta,
File:Rodadero.jpg,DateTimeOriginal,2012-10-07 17:10:14,
File:Rodadero.jpg,Credit,"<span class=""int-own-work"" lang=""en"">Own work</span>",
File:Rodadero.jpg,Artist,"<a href=""//commons.wikimedia.org/wiki/User:Mr_tobi"" title=""User:Mr tobi"">Mr tobi</a>",
File:Rodadero.jpg,LicenseShortName,CC BY-SA 3.0,
File:Rodadero.jpg,UsageTerms,Creative Commons Attribution-Share Alike 3.0,
File:Rodadero.jpg,AttributionRequired,true,
File:Rodadero.jpg,LicenseUrl,https://creativecommons.org/licenses/by-sa/3.0,
File:Rodadero.jpg,Copyrighted,True,
File:Rodadero.jpg,Restrictions,,
File:Rodadero.jpg,License,cc-by-sa-3.0,
File:Dan Hadani collection (990044396630205171).jpg,DateTime,2020-06-08 06:36:51,
