,file_name,wiki_commons_id,wiki_data_id,depicts,description,object_name,categories
128,File:133518089.jpg,133518089,Q188509,suburb,human settlement that is part of/or near to a larger city or town,suburb,['Suburbs']
129,File:19235711.jpg,19235711,Q2083681,Esperanza Aguirre,Spanish politician,Esperanza Aguirre,['Esperanza Aguirre']
130,File:97301574.jpg,97301574,Q1312,spring,"one of the Earth's four temperate seasons, occurring between winter and summer",spring,['Spring']
131,File:125623322.jpg,125623322,Q355304,watercourse,any flowing body of water,watercourse,['Watercourses']
132,File:36622956.jpg,36622956,Q33200,Mosque-Cathedral of Cordoba,"cathedral (former mosque) in Cordoba, Spain",Mosque-Cathedral of Cordoba,['Mosque-Cathedral of Córdoba']
133,File:94799377.jpg,94799377,Q5896235,Nasir al-Molk House,"mansion in Shiraz, Iranian national heritage site",Nasir al-Molk House,['Nasir al-Molk House']
134,File:145491312.jpg,145491312,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
135,File:144900591.jpg,144900591,Q214861,Hartsfield–Jackson Atlanta International Airport,"international airport in Atlanta, GA, US",Hartsfield–Jackson Atlanta International Airport,['Hartsfield-Jackson Atlanta International Airport']
136,File:109222764.jpg,109222764,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
137,File:61247275.jpg,61247275,Q1803996,Hohes Haus Liechtenstein,government building in Liechtenstein,Hohes Haus Liechtenstein,['Hohes Haus Liechtenstein']
138,File:131497762.jpg,131497762,Q10370300,Serra Devassa,mountain in Portugal,Serra Devassa,['Serra Devassa']
139,File:107331399.jpg,107331399,Q1468524,city center,"commercial, cultural and often the historical, political and geographic heart of a city",city center,['Downtowns and city centers']
140,File:4171825.jpg,4171825,Q121625068,bloodstain,spot or stain made by blood,bloodstain,['Bloodstains']
141,File:74901191.jpg,74901191,Q27555181,ABRA,American singer,ABRA,['Abra (singer)']
142,File:79588226.jpg,79588226,Q7304422,Red Killefer,American baseball player (1885-1958),Red Killefer,['Red Killefer']
143,File:6401761.jpg,6401761,Q112318741,Filarete Tower,tower in Milan,Filarete Tower,['Castello Sforzesco (Milan) - Filarete Tower']
144,File:139315984.jpg,139315984,Q105889895,religious site,location significant to one or more religions,religious site,NA
145,File:107537790.jpg,107537790,Q88372,esplanade,"long, open, level area, usually next to a river or a (former) military building where people may walk",esplanade,NA
146,File:133032611.jpg,133032611,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
147,File:73373287.jpg,73373287,Q1791841,Imam Reza Shrine,"shrine in Mashhad, Iranian national heritage site",Imam Reza Shrine,['Imam Reza Shrine']
148,File:129121221.jpg,129121221,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
149,File:112570253.jpg,112570253,Q93352,coast,area where land meets the sea or ocean,coast,['Coasts']
150,File:86613300.jpg,86613300,Q15728582,Amy Eleanor Mack,Australian journalist,Amy Eleanor Mack,['Amy Mack']
151,File:110452223.jpg,110452223,Q3395383,agricultural land,land used for agricultural purposes,agricultural land,['Agricultural land']
152,File:102988942.jpg,102988942,Q188869,field,area of land used for agricultural purposes,field,['Fields']
153,File:22702233.jpg,22702233,Q6811576,Melanthera tenuifolia,species of plant,Melanthera tenuifolia,['Wollastonia tenuifolia']
154,File:79771802.jpg,79771802,Q191746,Apollo 10,fourth crewed flight of the United States Apollo program,Apollo 10,['Apollo 10']
155,File:130415253.jpg,130415253,Q2638480,church congregation,Christian religious organization meeting at a particular location,church congregation,NA
156,File:103715935.jpg,103715935,Q40080,beach,area of sand or small stones near the sea or another area of water such as a lake,beach,['Beaches']
157,File:106638621.jpg,106638621,Q79007,street,public thoroughfare in a built environment,street,['Streets']
158,File:108372995.jpg,108372995,Q5004679,path,small road or street,path,['Paths']
159,File:135624397.jpg,135624397,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
160,File:110151845.jpg,110151845,Q3947,house,building usually intended for living in,house,['Houses']
161,File:28810704.jpg,28810704,Q518828,Christiana Figueres,Costa Rican diplomat,Christiana Figueres,['Christiana Figueres']
162,File:67867269.jpg,67867269,Q56062891,Lena Hentschel,German diver,Lena Hentschel,['Lena Hentschel']
163,File:1312671.jpg,1312671,Q110646070,Sick in Bed,"public artwork by Jan Snoeck in The Hague, the Netherlands",Sick in Bed,['Zieken te bed (Jan Snoeck)']
164,File:118111502.jpg,118111502,Q3947,house,building usually intended for living in,house,['Houses']
165,File:52029817.jpg,52029817,Q5940565,Shahrestanak Palace,"palace in Alborz County, Iranian national heritage site",Shahrestanak Palace,['Shahrestanak Palace']
166,File:114765572.jpg,114765572,Q1877924,Lutherkirche,"cultural heritage monument D-4-75-112-9 (0) in Bad Steben, Bavaria",Lutherkirche,['Lutherkirche (Bad Steben)']
167,File:59141143.jpg,59141143,Q109597816,Terukuni,"neighborhood in Chūō-ku, Fukuoka City, Japan",Terukuni,"['Terukuni, Fukuoka']"
168,File:142346083.jpg,142346083,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
169,File:94984492.jpg,94984492,Q95081,Rebo,Italian Disney comics character,Rebo,NA
170,File:73559804.jpg,73559804,Q12280,bridge,"structure that spans and provides a passage over a road, railway, river, or some other obstacle",bridge,['Bridges']
171,File:139820463.jpg,139820463,Q3947,house,building usually intended for living in,house,['Houses']
172,File:112718507.jpg,112718507,Q4457057,Roberto Tibiriçá,Brazilian conductor,Roberto Tibiriçá,['Roberto Tibiriçá']
173,File:126712832.jpg,126712832,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
174,File:23212363.jpg,23212363,Q121237535,La vara rota,painting by Arturo Michelena,La vara rota,['La Vara rota by Arturo Michelena']
175,File:134840848.jpg,134840848,Q55075651,upland,non-mountainous region of land which is higher in elevation than adjacent low-lying areas,upland,NA
176,File:113587169.jpg,113587169,Q110242476,The Goshawk,wood engraving - print made by Thomas Bewick,The Goshawk,NA
177,File:28533223.jpg,28533223,Q1075988,Louvre Palace,"former royal palace, now hosting the Louvre Museum in Paris, France",Louvre Palace,['Palais du Louvre']
178,File:38442986.jpg,38442986,Q19597029,Drasteria langi,species of insect,Drasteria langi,NA
179,File:134145896.jpg,134145896,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
180,File:89677145.jpg,89677145,Q3584683,Église Saint-Vivien de Breuillet,"church located in Charente-Maritime, in France",Église Saint-Vivien de Breuillet,['Église Saint-Vivien de Breuillet']
181,File:1363348.jpg,1363348,Q1558099,Gymnasium Dresden-Plauen,"secondary school in Dresden, Saxony, Germany",Gymnasium Dresden-Plauen,['Gymnasium Dresden-Plauen']
182,File:129445243.jpg,129445243,Q794,Iran,country in Western Asia,Iran,['Iran']
183,File:82712550.jpg,82712550,Q15613454,Särkisalo Church,"church building in Salo, Finland",Särkisalo Church,['Särkisalo church']
184,File:106848652.jpg,106848652,Q61776238,Statue of Saint Florian in Havraníky,"statue in Havraníky, Czech Republic",Statue of Saint Florian in Havraníky,['Statue of Saint Florian in Havraníky']
185,File:36922381.jpg,36922381,Q3947,house,building usually intended for living in,house,['Houses']
186,File:3163905.jpg,3163905,Q697295,shrine,"holy or sacred place, which is dedicated to a specific deity",shrine,['Shrines']
187,File:118097106.jpg,118097106,Q79419017,Italian Vikidia,Italian-language version of Vikidia,Italian Vikidia,NA
188,File:117582541.jpg,117582541,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
189,File:28438884.jpg,28438884,Q10534264,Chionodes ignorantella,species of insect,Chionodes ignorantella,['Chionodes ignorantella']
190,File:145289419.jpg,145289419,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
191,File:96101285.jpg,96101285,Q1009235,Pontefract,"market town in West Yorkshire, England",Pontefract,['Pontefract']
192,File:146165093.jpg,146165093,Q525,Sun,star at the centre of the Solar System,Sun,['Sun']
193,File:69211156.jpg,69211156,Q53149834,Bamboo Brook Outdoor Education Center,"nature center in Chester Township, New Jersey",Bamboo Brook Outdoor Education Center,['Bamboo Brook Outdoor Education Center']
194,File:142325235.jpg,142325235,Q14660,flag,"distinctive image used as a symbol, traditionally embodied as a piece of fabric",flag,['Flags']
195,File:107673803.jpg,107673803,Q2075301,view,"something to look at, such as scenery",view,['Views']
196,File:126244312.jpg,126244312,Q105889895,religious site,location significant to one or more religions,religious site,NA
197,File:8824078.jpg,8824078,Q7970904,Warsaw Insurgents Cemetery,cemetery in Poland,Warsaw Insurgents Cemetery,['Warsaw Insurgents Cemetery']
198,File:132714766.jpg,132714766,Q5004679,path,small road or street,path,['Paths']
199,File:145610569.jpg,145610569,Q11231,United States Department of Homeland Security,United States federal department,United States Department of Homeland Security,['United States Department of Homeland Security']
200,File:135145262.jpg,135145262,Q5004679,path,small road or street,path,['Paths']
201,File:83056160.jpg,83056160,Q1781,Budapest,capital and largest city of Hungary,Budapest,['Budapest']
202,File:48326482.jpg,48326482,Q3585767,Église Notre-Dame-de-la-Major d'Arles,"church located in Bouches-du-Rhône, in France",Église Notre-Dame-de-la-Major d'Arles,"[""Église Notre-Dame-de-la-Major d'Arles""]"
203,File:94517380.jpg,94517380,Q17310537,sculpture,manufacture of sculptures in arts and crafts,sculpture,NA
204,File:61192974.jpg,61192974,Q146628,Nymphaea,genus of plants,Nymphaea,['Nymphaea']
205,File:92131863.jpg,92131863,Q28035506,A Caprice Landscape with a Fountain and an Artist Sketching,painting by Luca Carlevarijs,A Caprice Landscape with a Fountain and an Artist Sketching,NA
206,File:129055393.jpg,129055393,Q11451,agriculture,cultivation of plants and animals to provide useful products,agriculture,['Agriculture']
207,File:133757051.jpg,133757051,Q532,village,small clustered human settlement smaller than a town,village,['Villages']
208,File:110663231.jpg,110663231,Q34442,road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",road,['Roads']
209,File:40121235.jpg,40121235,Q9629329,Armando Monteiro Neto,Brazilian politician and lawyer,Armando Monteiro Neto,['Armando Monteiro']
210,File:80129114.jpg,80129114,Q83661759,Rosa 'Fortune's Double Yellow',rose cultivar,Rosa 'Fortune's Double Yellow',"[""Rosa 'Fortune's Double Yellow'""]"
211,File:39474644.jpg,39474644,Q41410940,Praun'sche Säule,wayside shrine,Praun'sche Säule,"[""Praun'sche Säule (Almoshof)""]"
212,File:138681627.jpg,138681627,Q1081138,historic site,"official location where pieces of political, military or social history have been preserved",historic site,['Historic sites']
213,File:60163179.jpg,60163179,Q5113,bird,"class of vertebrates characterized by wings, a feather-covered body and a beak",bird,['Aves']
214,File:75844282.jpg,75844282,Q9337112,Sindre Bjørnestad Skar,Norwegian cross-country skier,Sindre Bjørnestad Skar,['Sindre Bjørnestad Skar']
215,File:83964730.jpg,83964730,Q1058,Narendra Modi,14th and current Prime Minister of India,Narendra Modi,['Narendra Modi']
216,File:117893256.jpg,117893256,Q655686,commercial building,building associated with any aspect of the various activities and business relationships of industry and trade,commercial building,['Commerce buildings']
217,File:88387942.jpg,88387942,Q129018,Prunus spinosa,species of plant,Prunus spinosa,['Prunus spinosa']
218,File:121590889.jpg,121590889,Q22698,park,"permanently dedicated recreation area, often open to the public and generally characterized by natural, historic, or landscape features",park,['Parks']
219,File:5679078.jpg,5679078,Q15462388,Stelis synsepala,species of plant,Stelis synsepala,['Stelis synsepala']
220,File:143450210.jpg,143450210,Q16970,church building,building used for Christian worship,church building,['Churches']
221,File:102115153.jpg,102115153,Q335427,Kisarazu,"city in Chiba Prefecture, Japan",Kisarazu,"['Kisarazu, Chiba']"
222,File:125968236.jpg,125968236,Q649055,Royal Saltworks at Arc-et-Senans,saltworks,Royal Saltworks at Arc-et-Senans,['Royal Saltworks of Arc-et-Senans']
